image,gt_has_violation,pred_has_violation,gt_violations,pred_violations,decision_category
construction-651-_jpg.rf.8fa283ce7693dbdf29eb98384f24cb85.jpg,False,False,Compliant,Compliant,True Negative (Correct Compliant Flag)
construction-675-_jpg.rf.bb4a05441be707256175e04929da3478.jpg,False,False,Compliant,Compliant,True Negative (Correct Compliant Flag)
construction-800-_jpg.rf.a01fcddd0db9cc89c0cacf4af88c468d.jpg,False,False,Compliant,Compliant,True Negative (Correct Compliant Flag)
construction-843-_jpg.rf.c0ca85a10f6ad3c1375b37e52a51eeed.jpg,False,False,Compliant,Compliant,True Negative (Correct Compliant Flag)
Image36_jpg.rf.8704f3450f736cdd01a61dcee588f2c2.jpg,True,True,NO-Safety Vest|NO-Safety Vest|NO-Safety Vest|NO-Safety Vest|NO-Safety Vest|NO-Safety Vest|NO-Safety Vest|NO-Safety Vest|NO-Safety Vest|NO-Mask|NO-Mask|NO-Mask|NO-Mask|NO-Mask|NO-Mask,NO-Mask|NO-Safety Vest|NO-Safety Vest|NO-Safety Vest|NO-Mask|NO-Safety Vest|NO-Mask|NO-Safety Vest|NO-Safety Vest|NO-Safety Vest|NO-Mask|NO-Mask|NO-Mask|NO-Safety Vest|NO-Mask|NO-Safety Vest|NO-Safety Vest,True Positive (Correct Violation Flag)
image_53_jpg.rf.3446e366b5d4d905a32e1aedc8fe87de.jpg,False,False,Compliant,Compliant,True Negative (Correct Compliant Flag)
image_55_jpg.rf.27ae4341a9b9647d73a8929ff7a22369.jpg,False,False,Compliant,Compliant,True Negative (Correct Compliant Flag)
IMG_0871_MOV-12_jpg.rf.36858a9d51613f9a39b7855b54dfa098.jpg,True,True,NO-Hardhat|NO-Safety Vest,NO-Hardhat|NO-Safety Vest,True Positive (Correct Violation Flag)
IMG_0871_mp4-11_jpg.rf.432092b53ebeb84f4b9b27b40343c9aa.jpg,True,True,NO-Hardhat|NO-Safety Vest,NO-Safety Vest|NO-Hardhat,True Positive (Correct Violation Flag)
IMG_0871_mp4-23_jpg.rf.03f872b1ed87ad7fadc85e09475ad37a.jpg,True,True,NO-Safety Vest|NO-Hardhat,NO-Hardhat|NO-Safety Vest,True Positive (Correct Violation Flag)
IMG_3100_mp4-12_jpg.rf.58849ca6a931c2cfe1b17fb4206d9d82.jpg,True,True,NO-Hardhat|NO-Safety Vest,NO-Hardhat|NO-Safety Vest,True Positive (Correct Violation Flag)
IMG_3100_mp4-9_jpg.rf.413ccf5fe4a7ee67f71e07c2c43b6756.jpg,True,True,NO-Hardhat|NO-Safety Vest,NO-Hardhat|NO-Safety Vest,True Positive (Correct Violation Flag)
IMG_3103_mp4-9_jpg.rf.b31bd2d816465a27aa1eb072f90bb5aa.jpg,True,True,NO-Hardhat|NO-Safety Vest,NO-Safety Vest|NO-Hardhat,True Positive (Correct Violation Flag)
IMG_5846_jpg.rf.0b9984069116e2acd928568eb7a8e214.jpg,True,True,NO-Mask|NO-Mask|NO-Mask|NO-Mask|NO-Mask|NO-Mask|NO-Mask|NO-Mask|NO-Mask|NO-Mask|NO-Mask|NO-Mask|NO-Mask|NO-Mask|NO-Mask|NO-Mask|NO-Mask|NO-Mask|NO-Mask|NO-Mask|NO-Mask,NO-Mask|NO-Mask|NO-Mask|NO-Mask|NO-Mask|NO-Mask|NO-Mask|NO-Mask|NO-Mask|NO-Mask|NO-Mask|NO-Mask|NO-Mask|NO-Mask|NO-Mask|NO-Mask|NO-Mask|NO-Mask|NO-Mask|NO-Mask,True Positive (Correct Violation Flag)
Inside-merge_mov-58_jpg.rf.50147e19cb655e74c2df0047113e82b2.jpg,False,False,Compliant,Compliant,True Negative (Correct Compliant Flag)
ka_01181_png_jpg.rf.154ee4ef254eabd62e316be50470c578.jpg,True,False,NO-Hardhat|NO-Hardhat|NO-Hardhat|NO-Hardhat|NO-Hardhat|NO-Safety Vest|NO-Safety Vest|NO-Safety Vest|NO-Safety Vest,Compliant,False Negative (Missed Hazard)
librairie_51_jpg.rf.56b0500ae2ad3820b4286133b627e59c.jpg,False,False,Compliant,Compliant,True Negative (Correct Compliant Flag)
maksssksksss17_png_jpg.rf.f685b497756b1facbf3d4c2d2d22c0d2.jpg,True,True,NO-Hardhat|NO-Safety Vest,NO-Hardhat|NO-Safety Vest,True Positive (Correct Violation Flag)
Movie-on-10-31-22-at-10_08-AM_mov-20_jpg.rf.aea4278b41550cdb75df5891a26052e7.jpg,True,True,NO-Hardhat|NO-Safety Vest,NO-Hardhat|NO-Safety Vest,True Positive (Correct Violation Flag)
Movie-on-10-31-22-at-10_08-AM_mov-24_jpg.rf.c50014f3510a484e5bd565460fd0fd5c.jpg,True,True,NO-Hardhat|NO-Safety Vest,NO-Safety Vest|NO-Hardhat,True Positive (Correct Violation Flag)
NX_img_177_jpg.rf.c03709e5fadfe2109411f05a9e9bc25f.jpg,True,True,NO-Hardhat|NO-Safety Vest|NO-Hardhat|NO-Safety Vest|NO-Safety Vest|NO-Safety Vest|NO-Safety Vest|NO-Hardhat,NO-Safety Vest|NO-Hardhat|NO-Safety Vest|NO-Hardhat|NO-Safety Vest,True Positive (Correct Violation Flag)
ppe_0018_jpg.rf.be66fabcc8627f60d963454b5a227095.jpg,True,True,NO-Mask|NO-Mask|NO-Safety Vest|NO-Safety Vest,NO-Safety Vest|NO-Mask|NO-Safety Vest|NO-Mask,True Positive (Correct Violation Flag)
ppe_1073_jpg.rf.72ea8a293a4f3e1135219e33701b1099.jpg,True,True,NO-Mask|NO-Mask|NO-Mask|NO-Mask|NO-Mask|NO-Mask|NO-Mask|NO-Mask,NO-Mask|NO-Mask|NO-Mask|NO-Mask|NO-Mask|NO-Mask|NO-Mask,True Positive (Correct Violation Flag)
RPReplay_Final1667001201_MP4-100_jpg.rf.9a1b50c4301c53b3ae534c6353337df9.jpg,True,True,NO-Hardhat|NO-Safety Vest,NO-Hardhat|NO-Safety Vest,True Positive (Correct Violation Flag)
thumbnail-ba5c72edb320b49a69e86b05775c49b2-scaled-1_jpeg_jpg.rf.3bb460e284098219861b894fb0db13d5.jpg,True,True,NO-Hardhat|NO-Hardhat|NO-Safety Vest|NO-Safety Vest|NO-Hardhat|NO-Hardhat|NO-Hardhat|NO-Safety Vest|NO-Safety Vest|NO-Safety Vest|NO-Safety Vest|NO-Safety Vest|NO-Safety Vest,NO-Safety Vest|NO-Hardhat|NO-Hardhat|NO-Safety Vest|NO-Safety Vest|NO-Hardhat|NO-Hardhat|NO-Hardhat|NO-Hardhat|NO-Hardhat|NO-Safety Vest|NO-Safety Vest|NO-Hardhat|NO-Safety Vest|NO-Safety Vest|NO-Safety Vest|NO-Safety Vest|NO-Hardhat|NO-Hardhat,True Positive (Correct Violation Flag)
youtube-108_jpg.rf.9dc7ed5f816f07d520f3dbfaad08d40f.jpg,True,True,NO-Mask|NO-Mask,NO-Mask|NO-Mask|NO-Mask,True Positive (Correct Violation Flag)
youtube-114_jpg.rf.5e02b6574ace1f4b3689befbc5051cd0.jpg,True,True,NO-Mask|NO-Safety Vest,NO-Safety Vest|NO-Mask,True Positive (Correct Violation Flag)
youtube-126_jpg.rf.786824e90daf3276130ca73ca610a8da.jpg,True,True,NO-Safety Vest|NO-Safety Vest|NO-Mask|NO-Mask|NO-Hardhat|NO-Hardhat,NO-Hardhat|NO-Safety Vest|NO-Safety Vest|NO-Hardhat|NO-Mask|NO-Safety Vest|NO-Mask,True Positive (Correct Violation Flag)
youtube-152_jpg.rf.9147878e3ddda845e58f7d9c041f1338.jpg,True,False,NO-Safety Vest|NO-Safety Vest|NO-Hardhat|NO-Hardhat|NO-Hardhat|NO-Safety Vest|NO-Safety Vest|NO-Hardhat|NO-Safety Vest|NO-Mask|NO-Safety Vest,Compliant,False Negative (Missed Hazard)
youtube-186_jpg.rf.1f1d93447d4be3233c22c4ce9f6e0601.jpg,True,False,NO-Hardhat,Compliant,False Negative (Missed Hazard)
youtube-192_jpg.rf.93bea040de8cd55f34ffb12f6ffe30b1.jpg,True,True,NO-Mask|NO-Hardhat|NO-Safety Vest,NO-Hardhat|NO-Mask|NO-Safety Vest,True Positive (Correct Violation Flag)
youtube-198_jpg.rf.e89faeb9765c6bd6cece5434d140f4af.jpg,False,False,Compliant,Compliant,True Negative (Correct Compliant Flag)
youtube-213_jpg.rf.da70b1d8cefd3cc9d56e43bb88dfb67d.jpg,True,False,NO-Mask,Compliant,False Negative (Missed Hazard)
youtube-237_jpg.rf.d07a927721fe259757237c3706ea22e5.jpg,True,True,NO-Safety Vest|NO-Safety Vest|NO-Mask,NO-Safety Vest|NO-Safety Vest,True Positive (Correct Violation Flag)
youtube-253_jpg.rf.5ad0a2d701e20141940508b809584856.jpg,False,False,Compliant,Compliant,True Negative (Correct Compliant Flag)
youtube-263_jpg.rf.374e343e12ead395440dbd81417e1be9.jpg,True,True,NO-Hardhat,NO-Hardhat,True Positive (Correct Violation Flag)
youtube-263_jpg.rf.bb17b89dd2ec9a090ce53b728f48865e.jpg,True,True,NO-Mask|NO-Safety Vest,NO-Safety Vest,True Positive (Correct Violation Flag)
youtube-34_jpg.rf.03eacc444bae3c5caa3fef5c736c3e40.jpg,True,True,NO-Mask|NO-Safety Vest,NO-Safety Vest|NO-Mask,True Positive (Correct Violation Flag)
youtube-388_jpg.rf.18caa1da4f818a65f73e48463cb2270e.jpg,False,False,Compliant,Compliant,True Negative (Correct Compliant Flag)
youtube-462_jpg.rf.df73aa5089a04b8fbf3adf9d614a6740.jpg,False,False,Compliant,Compliant,True Negative (Correct Compliant Flag)
youtube-471_jpg.rf.4296b7bd9a5a07753077beddbcd651bf.jpg,False,False,Compliant,Compliant,True Negative (Correct Compliant Flag)
youtube-472_jpg.rf.e9425ff40c0df2beeef70abbc2324956.jpg,False,False,Compliant,Compliant,True Negative (Correct Compliant Flag)
youtube-496_jpg.rf.def4e9964e9a354d0a02f4ac14334a73.jpg,False,False,Compliant,Compliant,True Negative (Correct Compliant Flag)
youtube-510_jpg.rf.62f82e36d134d53587edb48f291986f4.jpg,False,False,Compliant,Compliant,True Negative (Correct Compliant Flag)
youtube-53_jpg.rf.e96f8f81389f4e63a79663095680a617.jpg,True,True,NO-Mask|NO-Safety Vest|NO-Safety Vest,NO-Safety Vest|NO-Safety Vest|NO-Mask,True Positive (Correct Violation Flag)
youtube-596_jpg.rf.11a8a4ac01d8aadb80eeb0406dfa579a.jpg,True,True,NO-Mask,NO-Mask|NO-Mask|NO-Safety Vest,True Positive (Correct Violation Flag)
youtube-631_jpg.rf.7c6ecf859c1b0a659f8ea057ad27aebd.jpg,True,True,NO-Mask,NO-Mask,True Positive (Correct Violation Flag)
youtube-671_jpg.rf.7b08643d6754cabe6caf2b49a963de47.jpg,False,False,Compliant,Compliant,True Negative (Correct Compliant Flag)
youtube-738_jpg.rf.6f300b76e12b325f7c373c95ef319005.jpg,True,True,NO-Mask,NO-Mask,True Positive (Correct Violation Flag)
youtube-840_jpg.rf.974a83a7c5aee7c16e83435b043c6d96.jpg,True,True,NO-Mask,NO-Mask,True Positive (Correct Violation Flag)
